AMEX60DD000001	ZFP37-ZNF568
AMEX60DD000002	LOC114595135-ZNF268
AMEX60DD000003	LOC101953204-ZNF850
AMEX60DD000004	LOC115462503-ZNF268
AMEX60DD000005	AMEX60DD000005
AMEX60DD000006	LOC115464621-ZNF268
AMEX60DD000007	LOC108803380-ZNF268
AMEX60DD000008	AMEX60DD000008
AMEX60DD000009	AMEX60DD000009
AMEX60DD000010	LOC102367500
AMEX60DD000011	AMEX60DD000011
AMEX60DD000012	AMEX60DD000012
AMEX60DD000013	AMEX60DD000013
AMEX60DD000014	AMEX60DD000014
AMEX60DD000015	AMEX60DD000015
AMEX60DD000016	FZD10
AMEX60DD000017	AMEX60DD000017
AMEX60DD000018	AMEX60DD000018
AMEX60DD000019	AMEX60DD000019
AMEX60DD000020	AMEX60DD000020
AMEX60DD000021	LOC106702273
AMEX60DD000022	AMEX60DD000022
AMEX60DD000023	AMEX60DD000023
AMEX60DD000024	AMEX60DD000024
AMEX60DD000025	AMEX60DD000025
AMEX60DD000026	LOC114595149
AMEX60DD000027	LOC115074266
AMEX60DD000028	KDM6B
AMEX60DD000029	AMEX60DD000029
AMEX60DD000030	PARPI_0006348
AMEX60DD000031	LOC102279365-GLT1D1
AMEX60DD000032	AMEX60DD000032
AMEX60DD000033	GLT1D1
AMEX60DD000034	LOC106702022-ENV
AMEX60DD000035	AMEX60DD000035
AMEX60DD000036	SLC15A4
AMEX60DD000037	AMEX60DD000037
AMEX60DD000038	TMEM132C
AMEX60DD000039	AMEX60DD000039
AMEX60DD000040	AMEX60DD000040
AMEX60DD000041	AMEX60DD000041
AMEX60DD000042	ATP5MG
AMEX60DD000043	AMEX60DD000043
AMEX60DD000044	TMEM132B
AMEX60DD000045	TMEM132B-KIAA1786
AMEX60DD000046	PARPI_0026559-TMEM132B
AMEX60DD000047	TMEM132B
AMEX60DD000048	AACS
AMEX60DD000049	AMEX60DD000049
AMEX60DD000050	BRI3BP
AMEX60DD000051	DHX37
AMEX60DD000052	AMEX60DD000052
AMEX60DD000053	LOC110222103-UBC
AMEX60DD000054	LOC110222103-UBC
AMEX60DD000055	FUGU_019069-SCARB1
